컬럼명,설명
age,나이 (숫자형)
job,"직업 (범주형: 관리자, 실업자, 학생 등)"
marital,"결혼 상태 (범주형: 기혼, 이혼, 미혼)"
education,"교육 수준 (범주형: 초등 교육, 중등 교육, 고등 교육 등)"
default,"연체 여부 (이진형: 예, 아니오)"
housing,"주택 대출 여부 (이진형: 예, 아니오)"
loan,"개인 대출 여부 (이진형: 예, 아니오)"
contact,"연락 유형 (범주형: 전화, 휴대전화 등)"
day,마지막 연락 날짜 (숫자형)
month,"마지막 연락 월 (범주형: jan, feb, ... dec)"
day_of_week,주별 마지막 연락 요일
duration,"마지막 연락 지속 시간 (숫자형, 초 단위)"
campaign,현재 캠페인 중 수행한 연락 횟수 (숫자형)
pdays,"이전 캠페인 후 경과 일수 (숫자형, -1은 이전 연락 없음)"
previous,이전 캠페인에서의 연락 횟수 (숫자형)
poutcome,"이전 캠페인 결과 (범주형: 성공, 실패 등)"
emp.var.rate,고용 변동률 (경제 지표)
cons.price.idx,소비자 물가지수 (경제 지표)
cons.conf.idx,소비자 신뢰 지수 (경제 지표)
euribor3m,3개월 유리보 금리 (경제 지표)
nr.employed,고용된 인원 수 (경제 지표)
y,"정기 예금 가입 여부 (이진형: 예, 아니오)"
